1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
21,0
22,1
23,2
24,3
25,4
26,5
27,6
28,7
29,8
30,9
31,10
32,11
33,12
34,13
35,14
36,15
37,16
38,17
39,18
40,19
41,10
42,0
43,1
44,2
45,3
46,4
47,5
48,6
49,7
50,8
51,9
52,10
53,0
54,1
55,2
56,3
57,4
58,5
59,6
60,7
61,8
62,9
63,10
64,0
65,1
66,2
67,3
68,4
69,5
70,6
71,7
72,8
73,9
74,10
75,0
76,1
77,2
78,3
79,4
80,5
81,6
82,7
83,8
84,9
85,10
86,0
87,1
88,2
89,3
90,4
91,5
92,6
93,7
94,8
95,9
96,10
97,0
98,1
99,2
100,3
101,4
102,5
103,6
104,7
105,8
106,9
107,10
